11.00	7.50	9.25	0.00	71.50	79.00	64.0
12.00	3.20	7.60	0.00	67.00	85.00	49.0
18.60	-0.50	9.05	0.00	66.00	98.00	34.0
20.00	1.10	10.55	0.00	60.00	87.00	33.0
20.90	1.30	11.10	0.00	57.50	88.00	27.0
22.80	0.60	11.70	0.00	58.00	88.00	28.0
21.80	5.70	13.75	0.00	52.00	79.00	25.0
16.70	5.70	11.20	0.00	60.00	78.00	42.0
24.00	1.80	12.90	0.00	56.50	89.00	24.0
25.00	3.80	14.40	0.00	45.50	76.00	15.0
24.50	5.80	15.15	0.00	49.50	71.00	28.0
25.00	6.00	15.50	0.00	56.50	79.00	34.0
27.40	11.90	19.65	0.00	59.50	81.00	38.0
28.50	10.70	19.60	0.00	62.00	86.00	38.0
23.00	13.70	18.35	0.00	65.00	81.00	49.0
27.40	9.60	18.50	0.00	75.00	93.00	57.0
29.60	12.00	20.80	0.00	75.00	97.00	53.0
18.60	12.80	15.70	0.00	47.00	63.00	31.0
21.00	8.70	14.85	0.00	51.50	70.00	33.0
27.50	5.70	16.60	0.00	58.00	78.00	38.0
30.80	10.60	20.70	0.00	64.00	88.00	40.0
32.00	13.10	22.55	0.00	66.00	90.00	42.0
22.00	14.30	18.15	0.00	74.00	84.00	64.0
19.00	12.60	15.80	0.00	54.00	71.00	37.0
21.50	2.20	11.85	0.00	64.00	92.00	36.0
25.00	4.80	14.90	0.00	63.50	84.00	43.0
26.50	10.00	18.25	0.00	72.00	88.00	56.0
26.50	10.30	18.40	0.00	69.50	95.00	44.0
29.50	13.40	21.45	0.00	65.50	86.00	45.0
32.20	14.80	23.50	0.00	63.50	88.00	39.0
32.50	15.10	23.80	0.00	63.50	86.00	41.0
30.50	13.10	21.80	0.00	72.50	96.00	49.0
25.00	14.90	19.95	0.00	68.00	90.00	46.0
23.50	11.20	17.35	0.00	65.50	83.00	48.0
18.80	14.00	16.40	0.00	67.50	84.00	51.0
19.70	12.50	16.10	0.00	64.50	85.00	44.0
15.90	12.10	14.00	0.00	60.00	68.00	52.0
18.00	11.90	14.95	0.00	63.50	75.00	52.0
15.20	9.70	12.45	0.00	71.50	88.00	55.0
15.50	7.60	11.55	0.00	69.00	86.00	52.0
19.40	1.00	10.20	0.00	61.00	94.00	28.0
23.30	0.50	11.90	0.00	48.00	67.00	29.0
27.30	5.70	16.50	0.00	58.00	75.00	41.0
29.20	11.60	20.40	0.00	60.50	81.00	40.0
32.40	14.40	23.40	0.00	62.00	80.00	44.0
34.50	17.00	25.75	0.00	59.50	83.00	36.0
35.20	12.80	24.00	0.00	43.00	60.00	26.0
34.00	14.60	24.30	0.00	39.50	57.00	22.0
34.20	14.10	24.15	0.00	44.50	59.00	30.0
29.40	15.40	22.40	0.00	57.50	67.00	48.0
23.10	11.90	17.50	0.00	51.50	76.00	27.0
27.60	7.40	17.50	0.00	50.00	67.00	33.0
28.60	14.80	21.70	0.00	52.50	67.00	38.0
30.50	18.80	24.65	0.00	55.00	72.00	38.0
33.70	14.00	23.85	0.00	50.50	76.00	25.0
34.60	12.00	23.30	0.00	50.00	70.00	30.0
29.50	18.90	24.20	0.00	54.50	69.00	40.0
35.40	13.60	24.50	0.00	61.00	90.00	32.0
27.00	17.80	22.40	0.00	67.00	79.00	55.0
21.00	12.70	16.85	0.00	71.50	83.00	60.0
16.50	11.90	14.20	0.00	68.50	86.00	51.0
15.00	9.80	12.40	0.00	77.50	94.00	61.0
22.30	7.20	14.75	0.00	54.00	68.00	40.0
22.60	7.50	15.05	0.00	59.00	79.00	39.0
25.60	9.50	17.55	0.00	53.50	74.00	33.0
27.30	9.80	18.55	0.00	49.00	64.00	34.0
30.00	11.80	20.90	0.00	49.00	67.00	31.0
31.20	12.40	21.80	0.00	51.50	70.00	33.0
36.80	16.30	26.55	0.00	46.00	66.00	26.0
38.80	15.00	26.90	0.00	47.00	68.00	26.0
27.80	16.60	22.20	0.00	47.00	65.00	29.0
25.30	11.70	18.50	0.00	46.50	58.00	35.0
32.60	9.40	21.00	0.00	54.50	77.00	32.0
